Số thứ tự,Nội dung feedback
22,"Mình đã đến đây và cảm thấy đồ ăn rất ngon, nhân viên nhiệt tình và không gian sang trọng"
23,Nhân viên nhiệt tình dễ thương chất lượng tốt
24,"Đồ ăn ngon, giá cả hợp lí, phục vụ tốt"
25,"View đẹp, đồ ăn hơi nhạt vị"
26,"Đồ ăn ngon,phục vụ nhiệt tình"
27,"Nhà hàng sạch sẽ, thiết kế đẹp tinh tế. Đồ ăn ngon miệng, giá cả phải chăng. Neat and clean restaurant with nice design. Delicious yet affordable food."
28,Đồ ăn ngon miệng trang trí bắt mắt đẹp đẽ
29,"Nhà hàng đẹp , đồ ăn ngon nhân viên vục vụ chu đáo!"
30,"Đi công tác Hanoi tháng trước, mình được bạn dẫn đi ăn tối tại nhà hàng Spice Việt. Nhà hàng khá ấn tượng với không gian rộng, đẹp và thoáng mát. Các món ăn giá hợp lý và đồ ăn ngon. Mình sẽ quay lại đây nếu có dịp."
31,"Đồ ăn hợp khẩu vị, không gian rộng rãi thoáng mát"
32,"Một không gian ấm cúng rất hợp tổ chức sự kiện nhỏ của gia đình, món ăn thì vô cùng hấp dẫn , trang trí đẹp , nhân viên thân thiện . Sẽ cùng gia đình quay lại vào một ngày gần nhất."
33,Nhân viên nhiệt tình món ăn ngon
34,"Đồ ăn ra nhanh, ngon , trang trí đẹp , không gian ấm áp, nhân viên nhiệt tình và thân thiện. Mình sẽ cùng gia đình và bạn bè quay lại vào một ngày gần nhất."
35,"Đồ ăn ngon, decor nhà hàng lạ và đẹp mắt."
36,"Dịch vụ tốt, đồ ăn ngon, khách sạn sạch sẽ phục vụ chu đáo, rất đáng trải nghiệm"
37,"Đồ ăn ngon, nhân viên chu đáo nhiệt tình"
38,Đồ ăn ngon phục vụ nhiệt tình
39,"Không gian đẹp , đồ ăn ngon, nhân viên thân thiện"
40,"Đồ ăn ngon, giao hàng nhanh , giá cả hợp lý."
41,trải nghiệm tuyệt vời
42,Món ăn rất ngon
43,"Nhiều món ngon, giá cả phải chăng. Không gian đẹp, sang trọng"
44,"Tôi rất hài lòng về spice Việt ,"
